OBJECTID,ASSETID,CONDITION,TYPE,Roadname,SECTIONID,Length (ft),Length (mi),BACKIMAGE,VIEWER,IntVIEWER
2191,SW2193,GOOD,CONCRETE,E 3rd ST,r4531,361.71,0.069,http://98.103.168.235/Bloomington/121217/2/Back/ladybug_panoramic_003450.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/121217/truck/0/session/2/image/3450,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/121217/truck/0/session/2/image/3450
2176,SW2178,FAIR,CONCRETE,E 3rd ST,r4531,246.14,0.047,http://98.103.168.235/Bloomington/120417/5/Back/ladybug_panoramic_003162.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120417/truck/0/session/5/image/3162,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120417/truck/0/session/5/image/3162
2190,SW2192,GOOD,CONCRETE,E 3rd ST,s4548,219.29,0.042,http://98.103.168.235/Bloomington/120417/5/Back/ladybug_panoramic_002484.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120417/truck/0/session/5/image/2484,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120417/truck/0/session/5/image/2484
2177,SW2179,FAIR,CONCRETE,E 3rd ST,s4548,233.85,0.044,http://98.103.168.235/Bloomington/120417/5/Back/ladybug_panoramic_003855.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120417/truck/0/session/5/image/3855,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120417/truck/0/session/5/image/3855
2178,SW2180,GOOD,CONCRETE,E 3rd ST,s4549,253.33,0.048,http://98.103.168.235/Bloomington/120417/5/Back/ladybug_panoramic_003955.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120417/truck/0/session/5/image/3955,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120417/truck/0/session/5/image/3955
2189,SW2191,GOOD,CONCRETE,E 3rd ST,s4549,215.75,0.041,http://98.103.168.235/Bloomington/120417/5/Back/ladybug_panoramic_002470.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120417/truck/0/session/5/image/2470,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120417/truck/0/session/5/image/2470
2179,SW2181,GOOD,CONCRETE,E 3rd ST,s4550,313.5,0.059,http://98.103.168.235/Bloomington/120417/5/Back/ladybug_panoramic_004030.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120417/truck/0/session/5/image/4030,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120417/truck/0/session/5/image/4030
2188,SW2190,GOOD,CONCRETE,E 3rd ST,s4550,236.23,0.045,http://98.103.168.235/Bloomington/120417/5/Back/ladybug_panoramic_002440.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120417/truck/0/session/5/image/2440,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120417/truck/0/session/5/image/2440
2180,SW2182,GOOD,CONCRETE,E 3rd ST,s4552,314.68,0.06,http://98.103.168.235/Bloomington/120417/5/Back/ladybug_panoramic_004124.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120417/truck/0/session/5/image/4124,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120417/truck/0/session/5/image/4124
2187,SW2189,GOOD,CONCRETE,E 3rd ST,s4552,368.4,0.07,http://98.103.168.235/Bloomington/120417/5/Back/ladybug_panoramic_002429.jpg,http://98.103.168.235/serve/viewercurrent/viewer.html#/Bloomington/Back/date/120417/truck/0/session/5/image/2429,http://192.168.1.200/serve/viewercurrent/viewerInside.html#/Bloomington/Back/date/120417/truck/0/session/5/image/2429
