DATE,CONTROL #,INVOICE #,BILLED TO,ADDRESS,STREET SIDE,SIDEWALK   CURB     MONO       H/C RAMP GUTTER   DRIVEWAY    STREET CUT,LENGTH IN FEET,WIDTH,# of Ramps,YARDS,Plates/Str,Plates/Radius,Unnamed Column,Unnamed Column 1,Unnamed Column 2,Unnamed Column 3,Unnamed Column 4,Unnamed Column 5,Unnamed Column 6,Unnamed Column 7,Unnamed Column 8,Unnamed Column 9,DATE INSPECTED,Unnamed Column 10
06/18/2018 12:00:00 AM,13715389,10568859,Street,430 S Clifton,SW Corner,Mono,10,6,,1,,,,,,,,,,,,,,
06/20/2018 12:00:00 AM,15716647,10570284,Street,400 S Eastside Drive,SW Corner,Mono,17,6,,2.5,,,,,,,,,,,,,,
06/27/2018 12:00:00 AM,13715471,10573289,Street,401 S High Street,,Mono,15,4,,1.5,,,,,,,,,,,,,,
06/25/2018 12:00:00 AM,13038116,10571983,Street,330 S Eastside Drive,NW Corner,Mono,10,4,,1,,,,,,,,,,,,,,
06/25/2018 12:00:00 AM,13038116,10571983,Street,323 S Eastside Drive,NE Corner,Mono,10,4,,0.75,,,,,,,,,,,,,,
06/25/2018 12:00:00 AM,13038116,10571983,Street,401 S Eastside Drive,SE Corner,Mono,10,4,,,,,,,,,,,,,,,,
06/14/2018 12:00:00 AM,13037781,10567067,Street,316 S High Street,NW Corner,Mono,7,6,,0.5,,,,,,,,,,,,,,
06/14/2018 12:00:00 AM,13037781,10567067,Street,400 South High Street,SW Corner,Mono,10,6,,0.5,,,,,,,,,,,,,,
06/14/2018 12:00:00 AM,13037781,10567067,Street,2000 E Atwater,SE Corner,Mono,10,6,,1,,,,,,,,,,,,,,
06/25/2018 12:00:00 AM,13038116,10571983,Street,401 S Eastside Drive,SE Corner,Mono,10,4,,0.5,,,,,,,,,,,,,,
06/19/2018 12:00:00 AM,13037950,10569578,Street,1900 E Atwater,SE Corner,Mono,10,5,,1,,,,,,,,,,,,,,
06/19/2018 12:00:00 AM,13037950,10569578,Street,1900 E Atwater,SW Corner,Mono,10,5,,1,,,,,,,,,,,,,,
07/12/2018 12:00:00 AM,13038727,10581988,Street,312 W 14th Street,NE Corner,Mono,25,5.6,,2,,,,,,,,,,,,,,
07/16/2018 12:00:00 AM,13038842,10583684,Street,920 N Madison Street,SE Corner,Mono,22,5.6,,2,,,,,,,,,,,,,,
07/10/2018 12:00:00 AM,13038602,10580254,Street,11th & Rogers,NW Corner,Mono,26,8,,3,,,,,,,,,,,,,,
